Distance (mm),T (C),P (atm),H2,O2,H2O,CH4,CO,CO2,AR,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
8.296139418006896e-05,800.0000000000001,0.9999999999999238,0.003790173303917775,0.07698068358207501,0.4987568201022662,0.13097406967121855,0.00852248154966706,0.24275101515342437,0.03822475663743101,0.9382416940978338,2.131377396873445e-05,0.00099297074219872,0.013387048891907142,0.008095092112459767,2.735542140943438e-07,5.540633588320799e-06,1.3852339652231256e-08,4.452232675432992e-11,1.707816580596317e-05,0.03923897413116205
8.296532629580884e-05,800.0000000000001,0.9999999999999238,0.003791093888667196,0.07696357268357386,0.49877384429614696,0.1309643392090588,0.00852550294370989,0.24275696614869663,0.03822468083014654,0.9384870614643066,2.1430640175370888e-05,0.0009932646873897608,0.013390034539845427,0.008100070079721362,2.7359998154947874e-07,5.541011268837975e-06,1.3856699466687776e-08,4.4536303764066545e-11,1.7195006335197768e-05,0.03898511506974759
8.296925841154874e-05,800.0000000000001,0.9999999999999238,0.0037920131921381837,0.07694645673979808,0.4987908752590674,0.13095460560075806,0.008528527710785164,0.24276291651481705,0.03822460498263603,0.9387287853371825,2.1547188995034086e-05,0.0009935547929771698,0.013392894746384946,0.008105013129528875,2.7364504117157444e-07,5.541343849355567e-06,1.386089588205855e-08,4.454975569070037e-11,1.7311468835789453e-05,0.03873506444174474
8.297319052728863e-05,800.0000000000001,0.9999999999999241,0.0037929311429585333,0.07692933589042661,0.4988079128843663,0.1309448689702003,0.008531555740954717,0.24276886627270722,0.03822452909838623,0.9389669674382674,2.1663431887253268e-05,0.0009938411664038613,0.01339563313245277,0.008109922234991497,2.736894128737325e-07,5.541632648642219e-06,1.3864933532704894e-08,4.456269742700904e-11,1.7427565504055233e-05,0.03848871579892847
8.29771226430285e-05,800.0000000000001,0.9999999999999241,0.0037938476720057075,0.07691221027131229,0.4988249570680878,0.13093512943776664,0.008534586927364508,0.24277481544268176,0.03822445318078129,0.9392017052882851,2.1779379849342128e-05,0.0009941239106707118,0.013398253171327135,0.00811479832781299,2.7373311573960066e-07,5.541878931778545e-06,1.386881686573615e-08,4.457514326401987e-11,1.754330804848745e-05,0.03824596708857719
8.29810547587684e-05,800.0000000000001,0.9999999999999238,0.0037946712771414286,0.07689679324530811,0.49884030235705484,0.13092636147426193,0.008537317607785751,0.24278016920931184,0.038224384829135954,0.9394101018114199,2.188348962288125e-05,0.0009943753592112528,0.013400512773900818,0.008119159322930404,2.7377189158459316e-07,5.542065238645477e-06,1.3872183451820108e-08,4.458593186056373e-11,1.7647182900983613e-05,0.03803049030611112
8.29845936629343e-05,800.0000000000001,0.9999999999999238,0.0037954936289948545,0.07688137255685391,0.4988556528040304,0.13091759133814318,0.00854005068679477,0.2427855225297173,0.03822431645546553,0.9396158499863005,2.1987376646086818e-05,0.0009946240175684124,0.013402681558426497,0.00812349492712874,2.738101533493176e-07,5.5422189445339325e-06,1.3875431500972265e-08,4.4596339539258157e-11,1.7750788093607596e-05,0.03781778139671801
8.29881325671002e-05,800.0000000000001,0.9999999999999237,0.00379613866021071,0.07686925742198399,0.4988677138281777,0.13091070111001324,0.008542199097910496,0.2427897271462831,0.03822426273542069,0.9397756447029644,2.2068826202323515e-05,0.0009948174201660767,0.013404322869926223,0.008126883037667537,2.738398546800048e-07,5.542317348884415e-06,1.3877901526274368e-08,4.460425345882487e-11,1.783198368484634e-05,0.03765260107967936
8.299091230188633e-05,800.0000000000001,0.9999999999999238,0.0037966618074423615,0.07685941859229187,0.4988775094163259,0.13090510546442527,0.00854394459574837,0.24279314101613528,0.038224219107630894,0.9399042419389787,2.2134866130744913e-05,0.0009949732446908432,0.01340561611778896,0.008129623057650689,2.738637478464759e-07,5.542383094494426e-06,1.3879855586755567e-08,4.461051374554e-11,1.7897796471685017e-05,0.03751968280697987
8.299316938906645e-05,800.0000000000001,0.9999999999999241,0.003797184400330022,0.0768495783617032,0.4988873070340907,0.1308995090135865,0.008545690999525997,0.2427965547176839,0.03822417547307964,0.940031822676896,2.2200822461666922e-05,0.000995127998427309,0.013406874591979416,0.008132353327268905,2.738874437802905e-07,5.5424363690335855e-06,1.388176420960709e-08,4.461662801876859e-11,1.796350702873254e-05,0.03738782682574434
8.299542647624657e-05,800.0000000000001,0.9999999999999238,0.0037977064276497226,0.07683973675277878,0.4988971066640209,0.13089391177739298,0.008547438291562856,0.242799968254272,0.03822413183232278,0.9401584020076867,2.2266696947860616e-05,0.0009952816973104609,0.013408098831410475,0.008135073989713384,2.739109454303869e-07,5.5424773688782986e-06,1.3883628085978919e-08,4.462259849954231e-11,1.8029117220899907e-05,0.03725701734314423
8.299768356342669e-05,800.0000000000001,0.9999999999999238,0.0037982278783742426,0.07682989378774721,0.49890690828889905,0.13088831377543625,0.00854918645444685,0.24280338162918927,0.03822408818590724,0.9402839947090632,2.233249130943322e-05,0.0009954343569441293,0.013409289363924989,0.00813778518511719,2.739342556840297e-07,5.5425062863763105e-06,1.3885447892952537e-08,4.462842736368192e-11,1.8094628878492274e-05,0.037127238894143835
