z_m,T_K,P_Pa,tau_s,X_CH4,X_O2,X_CO2,X_H2O,X_CO,X_H2,X_OH
0.25999999999999973,1000.0003125817617,101325.0000000004,0.008755711658945294,0.09505679441681489,0.19011387778613717,7.616265282020352e-13,1.2596543537209942e-07,1.4580313782153322e-10,5.632012878020381e-09,2.229840210219257e-11
0.2633333333333331,1000.0003284207572,101325.00000000033,0.00886796433718181,0.09505678855073665,0.1901138733854122,7.982559620383815e-13,1.2984319439991186e-07,1.5229721653532578e-10,5.825535777830979e-09,2.271768089742707e-11
0.26666666666666644,1000.0003447052802,101325.0000000003,0.008980217013558191,0.09505678259790094,0.1901138689231625,8.362005091970111e-13,1.3379304657220545e-07,1.590049996583104e-10,6.023358558985239e-09,2.3139529037258677e-11
0.2699999999999998,1000.0003614388861,101325.00000000026,0.009092469688023689,0.09505677655797318,0.19011386439912117,8.754901734296648e-13,1.3781534062675455e-07,1.659310795718543e-10,6.225516361239461e-09,2.356389255112499e-11
0.27333333333333315,1000.0003786254919,101325.00000000026,0.009204722360527124,0.09505677043054886,0.19011385981296802,9.161556596557184e-13,1.4191046961013804e-07,1.730801939937406e-10,6.432046313525519e-09,2.399071294669622e-11
0.2766666666666665,1000.0003962692281,101325.00000000022,0.009316975031016866,0.09505676421516095,0.19011385516433535,9.582283809941885e-13,1.4607886694426686e-07,1.8045722721148643e-10,6.64298738591305e-09,2.4419935982428393e-11
0.27999999999999986,1000.0004143753063,101325.0000000002,0.009429227699440707,0.09505675791094076,0.19011385045255538,1.0017429915066634e-12,1.5032123540365505e-07,1.8806763068431653e-10,6.858392188168085e-09,2.4851535671594112e-11
0.2833333333333332,1000.0004329453501,101325.00000000022,0.009541480365746272,0.09505675151830117,0.19011384567791612,1.0467251927815474e-12,1.5463741118848986e-07,1.9591535156416046e-10,7.078268716484755e-09,2.528540009074125e-11
0.28666666666666657,1000.0004519844816,101325.00000000023,0.009653733029880622,0.09505674503646028,0.19011384083981298,1.093209522942693e-12,1.5902803347558748e-07,2.0400586580935713e-10,7.302665871868492e-09,2.5721497893944448e-11
0.2899999999999999,1000.0004714964315,101325.00000000025,0.009765985691790411,0.09505673846502921,0.19011383593793418,1.1412279288040035e-12,1.6349347449558566e-07,2.1234423715862886e-10,7.531618625163853e-09,2.6159768698102586e-11
0.2933333333333333,1000.0004914850101,101325.00000000022,0.009878238351421879,0.09505673180364006,0.19011383097198312,1.190812547802042e-12,1.6803408986020713e-07,2.2093557347221773e-10,7.765160906512597e-09,2.6600152990444828e-11
0.29666666666666663,1000.0005119539805,101325.00000000016,0.009990491008720853,0.09505672505193573,0.1901138259416713,1.2419957169289182e-12,1.7265022947849723e-07,2.2978507138076144e-10,8.00332628682927e-09,2.7042594382428926e-11
0.3,1000.0005329070981,101325.00000000012,0.010102743663632755,0.09505671820955656,0.19011382084670664,1.2948097677449663e-12,1.7734223771771297e-07,2.388979481736024e-10,8.246147461280909e-09,2.7487022321214663e-11
